t,mass_est,comx,comy,comz,pitch,roll,gyro0,gyro1,gyro2,grav0,grav1,grav2,cmd0,cmd1,cmd2,q0,q1,q2,q3,q4,q5,q6,q7,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,act0,act1,act2,act3,act4,act5,act6,act7
0.00015,0.26809,-0.00112,0.00077,0.00167,0.14264,-0.08046,-0.01786,1.35265,0.15335,0.15959,0.03271,-0.98664,0.00000,0.00000,0.00000,0.17976,-0.60344,-0.04466,0.00780,0.00677,0.61834,0.07163,0.00790,-0.02000,-1.89000,-0.66000,-0.01000,-0.01000,1.78000,0.80000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.01955,0.05631,-0.00060,0.00098,-0.00026,0.14422,-0.07906,0.83515,-0.84206,0.09556,0.16070,0.03065,-0.98653,0.00000,0.00000,0.00000,0.14306,-0.57334,-0.02356,-0.01290,0.02517,0.58234,0.04133,0.00220,-2.29000,2.45000,2.87000,-1.97000,0.87000,-2.83000,-3.11000,-0.50000,-3.32915,-0.72246,2.31017,-11.28305,2.59581,-0.00768,-2.12761,-5.15918
0.03963,0.03904,-0.00050,0.00097,-0.00027,0.09685,-0.05532,0.46390,-2.91639,0.39463,0.10904,0.02213,-0.99379,0.00000,0.00000,0.00000,0.11256,-0.47524,0.03404,-0.08990,0.02457,0.48084,-0.01467,-0.03160,-1.01000,4.84000,2.62000,-4.98000,-0.69000,-4.95000,-2.61000,-2.38000,-1.48543,0.04990,1.00466,-17.45947,1.47982,0.00338,-0.76794,-8.99938
0.05944,-0.01251,-0.00049,0.00069,-0.00040,0.03123,-0.02803,0.23620,-3.69776,0.13417,0.03844,0.01678,-0.99912,0.00000,0.00000,0.00000,0.05936,-0.35114,0.10514,-0.23420,0.03607,0.37254,-0.07437,-0.10600,-4.23000,7.21000,3.23000,-7.73000,1.50000,-5.92000,-2.54000,-4.22000,-1.63737,0.33614,1.26506,-22.08191,1.01272,0.32948,-0.76283,-12.71497
0.07953,-0.01796,-0.00018,0.00073,-0.00004,-0.02532,0.00043,0.29186,-3.50415,0.15415,-0.02414,0.00764,-0.99968,0.00000,0.00000,0.00000,0.01766,-0.24114,0.13824,-0.41520,0.04747,0.25514,-0.10887,-0.18000,-1.46000,4.97000,1.61000,-10.15000,-0.58000,-5.95000,-1.75000,-3.54000,-0.77395,0.13986,0.33033,-27.91912,0.12335,-0.06647,-0.35413,-18.52600
0.09947,-0.02518,-0.00034,0.00062,-0.00003,-0.08713,0.02413,-0.05302,-2.65088,0.09103,-0.09015,0.00476,-0.99592,0.00000,0.00000,0.00000,-0.02524,-0.14134,0.16464,-0.61880,0.03497,0.15684,-0.15417,-0.24790,-2.26000,3.97000,1.17000,-8.65000,-0.51000,-3.85000,-1.84000,-3.63000,-0.71235,0.19162,-0.03933,-34.16101,0.04590,0.01842,-0.19016,-24.54279
0.11922,-0.03534,-0.00030,0.00072,0.00003,-0.11517,0.03980,0.50252,-1.31237,0.09636,-0.12152,-0.00070,-0.99259,0.00000,0.00000,0.00000,-0.02584,-0.05364,0.18554,-0.77800,0.00787,0.08084,-0.17927,-0.34750,0.36000,3.62000,1.30000,-8.69000,-1.97000,-2.63000,-1.09000,-5.80000,-0.48334,0.39852,-0.46040,-39.94476,-0.52823,0.07057,-0.44277,-30.23270
0.13957,-0.01933,-0.00012,0.00036,0.00002,-0.12473,0.06173,0.98748,-0.43992,0.25881,-0.13759,-0.01713,-0.99034,0.00000,0.00000,0.00000,-0.02654,0.01066,0.20384,-0.98660,-0.01563,0.02574,-0.19857,-0.50520,-0.20000,2.06000,0.81000,-11.18000,-0.41000,-3.04000,-1.02000,-8.58000,-0.21031,0.45236,0.17172,-41.86091,-0.24868,-0.23152,-0.90448,-32.62764
0.15974,-0.01223,-0.00008,0.00057,0.00018,-0.12000,0.07331,0.34113,0.26289,0.25801,-0.13709,-0.02873,-0.99014,0.00000,0.00000,0.00000,-0.04694,0.06656,0.21904,-1.24740,-0.02583,-0.02006,-0.21747,-0.70030,-0.72000,2.98000,0.77000,-13.14000,-0.70000,-1.92000,-1.05000,-9.75000,0.20199,0.59338,0.96463,-39.71673,0.05888,-0.40707,-1.13688,-31.74883
0.17969,-0.03150,-0.00037,0.00017,0.00023,-0.10761,0.07202,-0.12279,0.80857,0.32858,-0.12526,-0.03105,-0.99164,0.00000,0.00000,0.00000,-0.04754,0.11686,0.24244,-1.50920,-0.03043,-0.06326,-0.23787,-0.89750,-0.09000,2.51000,1.47000,-12.64000,0.06000,-2.22000,-1.12000,-9.75000,0.35454,0.72925,1.42712,-33.47950,-0.07823,-0.78367,-1.28022,-26.80543
0.19948,0.03056,-0.00061,0.00025,0.00070,-0.09257,0.06156,-0.42266,1.07862,0.22552,-0.10781,-0.02598,-0.99383,0.00000,0.00000,0.00000,-0.04074,0.17186,0.27504,-1.75710,-0.02643,-0.09716,-0.25507,-1.08730,0.34000,2.16000,1.68000,-12.30000,0.14000,-1.51000,-0.75000,-9.46000,0.41590,1.15393,1.58407,-25.84860,0.06461,-0.95186,-1.04783,-20.65341
0.21952,0.01593,-0.00074,0.00013,0.00039,-0.07545,0.04371,-0.48285,0.91004,0.26493,-0.08583,-0.01460,-0.99620,0.00000,0.00000,0.00000,-0.02994,0.22216,0.30374,-1.98710,-0.02573,-0.13166,-0.27497,-1.27680,0.70000,3.10000,1.30000,-10.44000,-0.03000,-1.98000,-0.92000,-8.68000,0.29793,1.38720,1.33430,-16.78145,-0.13499,-1.21181,-1.04887,-13.90193
